Name,Stars,Rewatch,Review
eleaneithernor,★★★★,Watched,when my schizo bitch sister burns all my crops 😡
guavaminion,★★★★★,Watched,23 years is crazy tho
renandlima,★★★★½,Watched,"This review may contain spoilers.I can handle the truth.Hoje estou muito Nolan, amo o fato do amor ser a solução do filme."
zhlore,★★★★★,Watched,"Genial(dps faço reviw mlr, to com preguiça"
olgarotab,★★★★★,Watched,"Kanskje æ e biased siden æ e en sucker for verdensrommet fra før, men det her e en utrolig bra film assa!! Gjennomført storyline, spennende, godt skuespill, bra bilde og bra musikk. Trur itj det mangle nå æ hvertfall? Min favorittfilm"
taylornabinger,★★★★★,Watched,No complaints and i was engaged the whole time
maviimar,★★★★★,Watched,"meu filme favorito de toda a minha vida, brabo dms, n vou elaborar mto"
katerinasanchez,★★★★★,Watched,"Lloré mucho, esa conexion padre e hija dios.😭 Para todos los que dicen que los padres no tienen favoritismo🤌Además estaba ANNE HATHAWAYDejando de lado la parte flashera de la dimensión conectada con la habitación, 🤯🤯🤯🤯🤯🤯🤯🤯"
erickpriegoo_,★★★★★,Watched,"mi película fav, sinceramente vale la pena cada segundo de la película, es increíble los efectos visuales y los sentimientos que transmite la película y el aprendizaje, sin duda la mejor película que he visto en mi vida"
mads612,★★★★★,Watched,tears. so many tears.greatest movie of all time. no mistakes just perfect. why did it take me so long to watch this movie?I wish I could watch it for the first time all over again.
brendo0519,★★★★★,Watched,Wow
enieslittlemind,★★★★★,Watched,WHAT THE FUCK???????????????I did not expect that omds
maajka,★★★★★,Watched,"YOU’VE GOT TO LEAVE SOMETHING BEHIND!!Yes I did watch this movie yesterday. And today. And I would watch it tomorrow once more if I could.Also, mom watched the whole movie from the beginning to the end this time and liked it a lot. I have accomplished my mission of converting her into liking this movie :D"
enorat,★★★★★,Watched,ouin
taaaaaaai,★★★★★,Watched,o filme é bom mas essa trilha sonora aperfeiçoa tudo
samowilliams,★★★★★,Watched,Way better the second time
pao_can,★★★★½,Watched,"La banda sonora es hermosa, me dejaba sin aliento cada vez que estaba acompañada de una toma del espacio, al igual que los silencios que a veces se mostraban cuando ellos se encontraban en la nave.Lloré, reí y disfruté mucho la película pero también me dio dolor de cabeza por tratar de desenmarañar la paradoja, lo que me llevó a descubrir agujeros de guión que simplemente no puedo ignorar. Quisiera poder darle cinco estrellas pero no me voy a…"
ollypenna,★★★★★,Watched,"Good Will Hunting taught Matt Damon:nothing??Nolan is often applauded for flexing his cinematic muscle, yet, an aspect that remains remarkably under-appreciated is hisheartfeltpoeticism.“We feel love even after people die”“Nature is frightening, but not evil”Oh, Miller… how objective truth will come to deepen your wound of subjective tragedy </35/5 Stars. Perfect Movie."
madisonknight7,★★★★★,Watched,This review may contain spoilers.I can handle the truth.HE WAS HER GHOST
lenaalmeidap,★★★★★,Watched,“you were my ghost”foda chorei
arronrayowen,★★★★★,Watched,In my Top 5/10 movies. Completely faultless to me and such an incredible feat of cinematography.CHEFS KISS TO HANS ZIMMER 🙌🏽
twojstaryshrek,★★★★★,Watched,whoa
jeanneddr,★★★★★,Watched,J’adore
killernubby,★★★★,Watched,First half dragged for me sort of (maybe cause Matthew McConaughey was so quiet) but the second half had me tense and crying. One of my upper tier Christopher Nolan films
yandikss,★★★★★,Watched,i am literally staggered i don’t know what to say this movie left me with my mouth open.
matteopaglia01,★★★★★,Watched,Direi ti amo alla propria fidanzata è riduttivo rispetto a guardare questo film insieme
dudsss7,★★★★★,Watched,"Simplesmente o melhor filme já feito, a maneira que o filme te prende, o visual, a trilha sonora, a história, tudo no filme é perfeito."
zoephibbs03,★★★,Watched,"I wanted to love this so bad. The cinematography was inarguably stunning, and the plot was interesting. However, some of the filler lost me. The ending was amazing, but I’m not sure if i would revisit this film"
elrizzo,★★½,Watched,"Mind blowing alla prima volta, dalla seconda visione ti scende🚀🧑‍🚀👵"
marcopolo__,★★★★★,Watched,estoy loco y solo desi me eentiende
mayaferkowicz_,★★★★★,Watched,dr mann you are not seeing heaven
lullyee,★★★★★,Watched,evet bunu da yeni izledim
cristianexique,★★★★★,Watched,"Excelente em tudo, principalmente na trilha sonora."
ltw94,★★★★★,Watched,impecável.
zuczek_677,★★★★★,Watched,I don’t really like sci-fi movies but this one is amazing. Def in my top 15.
petermck11,★★★★★,Watched,2 watches of interstellar is how to kill a 12 hr flight
cybisbla,★★★,Watched,sempre entendo tudo e nada ao mesmo tempo
sofykhe,★★★★,Watched,"minha única picuinha com esse filme é que ele é desnecessariamente longo, dava pra diminuir/tirar muito diálogo, fora isso, PUTA QUE ME PARIU"
accio_noodles,★★★★★,Watched,"My cousin adores this film so much that I've lost count of his rewatches (mine as well ) He now has all sorts of  books on astronomy and speaks about black holes the entire day. Who am I to complain? went through the same phase back then, even appeared for  the National Astronomy Olympiad . Whatever can happen will happenI; can’t save him.Sunday well spent ;we listened to the entire soundtrack on the terrace afterward.Got to know Nolan’s daughter…"
brendhaesg,★★★★½,Watched,Assisti pq a Anne e o Matt são gstos demais sem condições
henrymid,★★★★★,Watched,Easily the best robot designs in any film.
igorpr,★★★★★,Watched,"Smile, cheer, cry. I simply really liked this film, the acting is really incredible, and after the film I ended up becoming interested in researching more about space, I really liked it."
howardoh,★★★½,Watched,heisann sander
geekyx,★★★★★,Watched,"This review may contain spoilers.I can handle the truth.this movie is extaordinar.it perfectly describes the different dilemes of a human being.with its strong end in emotion ,it will teach us that love challenges the physical barriers"
gdukkdanlabouch,★★★★,Watched,le film est bien si tu te poses pas de question
vvvergara,★★★★,Watched,"pra mim, a maior prova do roubo que a academia do oscar é.muito mal visto pelos críticos de hoje por ter se tornado um filme referencia """"""cult"""""", mas é uma obra absurdamente diferenciada, que merecia ter sido recompensada pelo que é."
joodjood,★★★★★,Watched,Speechless
qgalante,★★★★★,Watched,My favorite movie of all time. Nothing to add
ssbnelson,★★★,Watched,Beautifully shot and acted and a brilliant concept to discuss the failure of experts.
migueldaree,★★★★★,Watched,melhor filme do mundo
zoking247,★★★★★,Watched,"this movie may be one of the greatest of all time, i love how much it makes me think and the story and just everything."
edesluvs,★★★★★,Watched,cinematic masterpiece.If u dont like it fuck you
aporteous,★★★★,Watched,plane movieso good!
bublinel,★★★★★,Watched,i cried like a baby. amazing. needed this.
jackscreen,★★★★★,Watched,"I went into this movie with VERY high expectations. Still not having seen at this point in my life, while I simultaneously enjoy movies as a whole and science fiction specifically, everyone I knew who had seen it pleaded with me to watch it. Despite these incredibly high expectations I still was completely amazed, which really demonstrates how good this movie is."
yyukiw,★★★★★,Watched,lembro de quando assisti e minha cabeça explodiu
vezzaroisa,★★★★★,Watched,FODA FODA FODA PRA CARALHO
mrrhodes,★★★★½,Watched,"Haven’t watched this since it first released, shocked at how good it actually is. The editing, the acting, the visuals, THE MUSIC, everything is flawless. Timothée Chalamet kinda gets robbed and cut out of this film entirely."
jenna_iscrazy,★★½,Watched,"the premise of this movie is actually so good, and so is the acting. but its very dragged out and sort of confusing?"
vittya,★★★★★,Watched,HOLYY SHIIIIIT
bmakx,★★★★★,Watched,Yup I still cry with Matthew McConaughey
builaa,★★★★½,Watched,INCREÍBLE
marinho_nath,★★★★★,Watched,"QUE FILME MARAVILHOSO, tudo incrível, muito complicado de entender, cochilei 2 min e n entendi 30% do filme, mas ainda achei perfeito"
daphhnee,★★★★★,Watched,i will never forget this film
onlyyky,★★★★★,Watched,"Agora eu finalmente entendo a reação das pessoas quando perguntavam se eu já tinha assistido interstellar e eu dizia que não. Esse filme consegue facilmente ser uma das coisas mais belas que eu já vi na minha vida, como uma obra de arte vista em um museu, você só a contempla, porque é o máximo que você consegue fazer pra acompanhar a grandiosidade de uma obra prima. Nunca poderei contemplar essa obra prima de novo, pois obras primas só podem…"
sarathonair,★★★★★,Watched,no words.
licotina,★★★★★,Watched,It was you. You were my ghost.
vortexzynn,★★★★★,Watched,Masterpiece
noahg64,★★★★½,Watched,Le truc le plus triste du film c’est le glow down de Chalamet franchement
hellomilfs,★★★★★,Watched,matthew mcconaughey made me cry and want him all at once
kuribohlloll,★★★,Watched,Nolan tentando dramatizar o filme com aquele final merda me quebra!!!
eirikgm,★★★★★,Watched,"Fantastic movie, really really cool😛"
lucozaid,★★★★★,Watched,Spectacle.Damon was a real demon in this movie
ezrathayne,★★★★★,Watched,This movie had me feeling like a 5-dimensional being for a good few hours.
7iogo,★★★★★,Watched,amo essa porr pra crlh
cinesa99,★★★★★,Watched,Best film
candeeesss,★★½,Watched,"Acepten que no es complicada, y que es (a comparación de las otras no digo que sea mala) la peor de Nolan"
hannhuffm,★★★★★,Watched,This review may contain spoilers.I can handle the truth.that was fire fr i wish i saw brand and coop reunite at the end but i cried so yk it’s gotta be five stars
aesqb,★★★★½,Watched,The second this goes back into theaters I WILL be seated
eitalarissao,★★★★½,Watched,Christopher nolan should donate his brain to science after he passes and I’m so SERIOUS WHEN I SAY THIS!
poopapoopy,★★★★½,Watched,bruh almost halfway into the movie i was questioning why was the lighting kinda dark but then i just said oh maybe its cause they’re in outer space ya feel (it was my mac’s auto brightness........) wish we could turn back time but no! time is relative ok? it can stretch and it can squeeze but it cant run backwards. also in my head 169 minutes felt closer to 2 hrs than 3… time rlly is relative huh haha anywayy…
hansmeier,★★★★★,Watched,Absolutely ZERO laughs what is the point of this movie???
cyndakyu,★★★★★,Watched,73% rotten tomatoes???? 8.7 IMDb????? what the sigma?????
isabelaquerida_,★★★★★,Watched,"Admito que não entendi muito esse final me senti muito perdida mais o filme é simplesmente perfeito, é coisa de astrologia sempre me atraiu sempre achei interessante e é tão foda quando agente para pra pensar em todas as coisas que tem lá fora e todas as infinitas galáxias que estão que estão lá fora para serem exploradas é assustador e incrível ao mesmo tempo 🪐 o filme prendeu bastante a minha atenção do início ao fim quero assistir mais…"
peedjar,★★★★,Watched,"Chris Nolan has such a grasp on how smart and attentive his audience can be his job almost becomes reduced to keeping their attention. He's never trying to pull one on you or distract, everything is always moving forward and has implications and he rewards the audience for believing in that sincerity.P.S I want the inside baseball on how directors describe what they want from a music score"
loudomingues,★★★★★,Watched,nunca mais vou ouvir essa trilha sonora sem pensar na relatividade do tempo
purav_15,★★★★★,Watched,"One of the best if not the bestest sic-fi movie ever made, from storyline, to graphics, to actors, to science in the movie, everything's just too good. Really loved the show, watched it 2 times already and its enjoyable each time I watch. Must watch for everyone."
cudarem,★★★★★,Watched,Primeira vez em algum tempo que chorei genuinamente por causa de um filme
radiokopf,★,Watched,Abgrottig
voli_bic,★★★★½,Watched,watching it on a browser player while i was doing homework just like nolan would have wantedps: it made me cry
jpsy,★★★★½,Watched,L'un des meilleurs Nolan.
graucho,★★★★½,Watched,"Fiquei confuso,mas o filme é muito bom 👍"
azisazis,★★½,Watched,Very beautifulGreat actingBut not for meI was bored and did not understand half of the things
thaisrochab,★★★★★,Watched,"melhor cenografia, melhor enredo, melhor tudo"
aunti_marenka,★★★★★,Watched,Try not to cry challenge‼️ (I only cried five times)
eirinimytilini,★★★★★,Watched,ταινιάρα. πλάνταξα στο κλάμα. με άλλαξε ως άνθρωπο.
mily_tory,½,Watched,"Antes de ver esse filme eu tinha uma ideia bem ruim a respeito dele, e depois de assistir eu vi que estava certa.É mais um filme megalomaníaco do Nolan, que ele faz para acariciar o ego dele. É chato e muito longo, o drama é ruim, o roteiro se força para parecer super inteligente e genial, quando não verdade não é.Acho que quem trabalha com astronomia e física talvez goste, eu achei fraquíssimo e superestimado, um filme bem Nolan."
roberto_soares,★★★★★,Watched,Comecei a assistir filmes agora e é óbvio que eu vou puxar o saco do Christopher Nolan kk
lchoi_707,★★★★★,Watched,Que buen soundtrack
annaa39,★★½,Watched,10/10 if you want to cry your eyes out :(
mcwd_e,★★★★½,Watched,"que buena película, me confundí un poco mucho pero me hizo llorar, muy buena película. Nolan no falla una, esa cinematográfia ufff"
lalabean99,★★★,Watched,"Started very boring but got very interesting towards the end. If it would've been fun since the beginning I would've given it 4 stars but bc of that, I give it 3! Still a good movie though. I recommend giving it a lil watch before you die! You're welcome"
naraag,★★★★★,Watched,isso aqui é cinema
asmaamjad26,★★★★★,Watched,i needed a good cry
sgtskiq,★★★★★,Watched,im crying (it’s been almost 10 years and i haven’t stopped)
sara_07,★★★★,Watched,"orice film cu spatiu trezeste in mine un sentiment inimaginabil de uimire si spaima dar intersteller o face cel mai bine. mi se pare oleaca corny totusi. adica ideea de conexiune umana ca cheia salvării o iubesc dar mi se pare ca putea fi executata mai subtil decat ""because my father promised me"". timeskip-ul te loveste putin initial dar dupa ceva timp devine normal si nu prea te mai intereseaza, e un film maxim de interesant si distractiv si emotionant si stresant DAR are si lipsuri"
mauimpr,★★★★★,Watched,Great film and accurate representation of time dilation. Mathew Mcconaughey made the film
pithikos_,★★★★★,Watched,desesperador e impecável
keripikentang,★★★★★,Watched,"shit, this beautiful film made me cry :("
pedro_vz,★★★★★,Watched,Cinema 2
matthew_wyllie,★★★★,Watched,"Didn’t care the first time. Second time, loved it. Score is incredible!!"
tamler,★★,Watched,hoo boy this isn't good. The first hour is clunky but OK and then from around the time Matt Damon appears to the end it becomes one of the worst movies I've seen in ages
marshpooch89,★★★½,Watched,"Well, it's certainly no Terrifier"
keshietc,★★★★★,Watched,all of the emotions were felt
prashansaaaaa,★★★★★,Watched,This is cinema!
dabarge,★★★★,Watched,Absolutely great film but I hate to say I think its overrated
grass_plague,★★★★,Watched,"everytime i hear murphy’s law, i think of the disney xd cartoon of the same name"
superdeluxed,★★★★★,Watched,"space is soo very much fascinating to me and so are mankind’s feelings and emotions and i say “i am nothing but dust” when it comes to latter all the time, especially when it’s deepfelt and to experience this movie where it literally is the personification of the very phrase in both ways, was mindblowing."
georgia418,★★★★★,Watched,"fucking chills. it was so beautiful, i haven’t cried that much while watching a movie in a long time. i get the christopher nolan hype now."
perrywaynemusic,★★★★★,Watched,"definitely one of my top 10’s for sure, but I’ll be honest here- story felt very “Alien” based. Similar premise, but still was VERY VERY good. Loved it"
adrianafioran,★★★,Watched,"yeah, it's goodisa if you're stalking my letterboxd - just grow up and send me a message. this is annoying. you are like super. messed up and have brain rot from instagram comments but talking about movies with someone who isn't like ""durrr durrr hurrr durrr a24 good hurr durr you say fake deep because you're a bitch durrrr"" is like. of major importance to me."
askorbik,★★★★★,Watched,Poum Pam. poum Pam
amphitheatre,★★★★½,Watched,Poum poum poum poum pouum poum
remingtonbrown,★★★★★,Watched,This movie has the Greatness level at 100%
digutus234,★★★★,Watched,Es que cortando por la linea de puntos ya me la habia spoileado
criteridiot69,★★★★½,Watched,"Can't believe how many years it's been since I saw this last.What an accomplishment of so much talent, money, and passion.Great picture. Want to watch again while everything is still fresh. Another thing I'll say is that I always had this feeling of this moving being a massive epic, long run time, covering an entire history. On rewatch, it's pretty breezy! Zips by before you notice. There really isn't that much time in the spaceship, to be honest."
lxbisbae,★★★,Watched,"vi na escola umas duas vezes mas não gosto desse tipo de filme, mesmo assim ele é mto tenso e a filmagem é muito bonita"
kazuthv,★★★★★,Watched,"pq você não escutou o ""fantasma"" PORQUEEEEEE"
sebastiang9,★★★★½,Watched,Såg med mamma när jag var typ 12. Den gjorde något med mig.
chewy3194,★★★½,Watched,if I was a robot capable of complete sentience and humanity condemned me to the body those robots had I would have crashed the ship
lesgale,★★★★,Watched,Always worth the rewatch
nstavrogin,★★★★,Watched,"Tirando o final, impecável ."
yowiya,★★★★★,Watched,I never get tired of this movie تحفة سينمائية
sweeneytassie,★★★★★,Watched,My all time favourite movie
rudedziecko,★★★★★,Watched,"So….he doesn't give a damn about his son for almost 3 hours? I love Nolan for this movie, but I didn't understand anything about the physical side. I had to cry when Cooper couldn't participate in the lives of his own children, grandchildren and say goodbye to his own father."
_lunaaa_,★★★★,Watched,vraiment bien mais surcôté de ouf
typhelps03,★★★★★,Watched,Peak
alekssj,★★★★,Watched,just perfect 😭
rafaellimasx,★★★★★,Watched,"Interestelar"" é um dos raros filmes que posso qualificar como uma obra de arte completa . Com todos os adjetivos que se referem à qualidade, este filme se destaca, onde não encontrei nenhum erro significativo para destacar nesta crítica. Apreciar esta obra-prima é como repousar à margem de um rio cristalino, ouvindo Frédéric Chopin, enquanto se contempla a perfeição existente nas leis e no caos do nosso universo. É uma experiência magnífica em todos os aspectos e representa o ápice…"
bitwxlp,★★★★,Watched,"Que personne ne me frappe mais ça n'a pas été la grande révélation attendue... Je m'incline devant la réussite technique, musicale et les thèmes abordés, mais le film ne m'a pas touché commeArrivalpar exemple."
boyjavo,★★★★★,Watched,Está maniobra nos costará 51 años
anorak94,★★★★★,Watched,Melhor filme de ficção que já vi
dantotheny,★★★★★,Watched,"Peak Nolan. Tjek.Rumrejser, exo-planeter, ormehuller og sorte huller. Tjek.McConaissance. Tjek.Hans Zimmer. Tjek.Jeg giver måske for mange film 5 stjerner."
abhijayvevo,★★★★★,Watched,Peak
gknapp06,★★★★★,Watched,"This film is perhaps the most beautiful film ever created. The shots are mesmerizing, which isn’t a shock considering Nolan’s track record. I think Matthew McConaughey puts on a brilliant performance. The way that this film can both wow you with the cinematography as well as having a deep story that is extremely emotional is special. I do think the pacing could have been a little better, as it does meander just a bit in the middle of the film.…"
mariarruda,★★★★,Watched,cinematografia linda
nayah77,★★★★★,Watched,i’m not going to lie and say that i understood what happened
hemendughosh,★★★★★,Watched,now why did matt damon show up🤣
amaresia,★★★★★,Watched,"Simplismente magnífico! O roteiro de “Interstellar” é ambicioso e intelectualmente estimulante, integrando teorias científicas reais com ficção especulativa,sem contar as cenas no espaço, que  são visualmente impressionantes, com efeitos especiais que nos fazem sentir imersos no cosmos junto aos personagens.O Matthew McConaughey entregou uma performance poderosa e absurda nesse filme! sem comentários"
larysilvaa,★★★★★,Watched,old dando 5 estrelas por causa da Jessica
lionempire,★★★★★,Watched,"This review may contain spoilers.I can handle the truth.Murphy's Law states everything that can go wrong, will go wrong, but somehow they still had a happy ending?!?"
kawss,★★★★★,Watched,IMAX dream came true
jordanklipp,★★★★,Watched,matt damon you will rue the day
vincentcts,★★★★★,Watched,No words needed.
tadasviz,★★★★,Watched,This review may contain spoilers.I can handle the truth.It lost me for awhile but when he gets into the black hole it really saves it. Also what did Matt Damon think he was accomplishing.
alxndr_thegreet,★★★★★,Watched,"It’s my favorite Nolan filmThe epic scale told here about space and time with entanglement of loveThis sadly marks the end of the McConaissance, as his next few films underperformed and the magic ended as a result"
pinkybuttons,★★★★½,Watched,"what if it was all about love, in the end?"
ilymavi,★★★,Watched,Tenho algumas opiniões controversas a acerca das atitudes dos personagens que não me permitiram ter uma “incrível” experiênciaA fotografia é os cenários são espetaculares
trinitykrae,★★★★½,Watched,Taking astronaut OFF my future careers list
ana_btriz,★★★★½,Watched,Mano é incrível
muiiholland,★★★½,Watched,"This review may contain spoilers.I can handle the truth.Does love override free will? Hubris and determinism.Deus ex machinasand the product of man’s creation being made in man’s likeness, the saviour’s hands are the bloodiest of them all."
medijaycre,★★★★,Watched,Emotional rollercoasters from start to end
tharakesh_s,★★★★★,Watched,Rewatched it twice in two days. I'm jobless AND this film just keeps getting better snd better on every rewatch.
rayabae,★★★★★,Watched,in my opinion the second greatest film of all time (after oppenheimer) this is a movie that has never failed to make me cry even though ive watched it so many times. and like a chris nolan classic movie i really dint understand the ending until 3 watches. the fact i love these movies is because i can make so many theories about the movie and theryre all mess with my mind
luc777,★★★★★,Watched,holy shi
xangiovanni,★★,Watched,ma vaffanculo
tyronedw3rd,No rating,Watched,"Finally, the greatest film of all time, according to the legions of glazers that stalk this website. I don't think there is a film I have seen on Letterboxd that has SO MANY people place it at numero uno. I remember when I first watched this movie, I must have been in 8th grade, and my friend put it on, but he quickly fell asleep. I stayed up into the night, watching the behemoth runtime of 169 minutes for a…"
vaction,★★★★,Watched,"I have mixed feelings about this movie. I think that it managed to pull at some emotion in the last half hour that makes me feel like I enjoyed it more than I actually did. I feel like this movie suffers from some of Christopher Nolan's usual things (having a vague sci-fi premise that gets explained away, having sound that goes up and down in volume so greatly that I need to rewind some parts to hear properly and then…"
mwarstep,★★★★½,Watched,"This is an absolute ride from start to finish! The visuals? Mind-blowing. The score by Hans Zimmer? Gives me chills every single time. Nolan has this incredible ability to make you feel like you’re right there with the characters, experiencing the vastness of space and the depth of their emotions.Matthew McConaughey is GREAT. The scenes where he’s torn between his mission and his family hit hard. And don’t even get me started on the mind-bending science and those epic…"
julian65,★★★½,Watched,"Thought provoking but overlong sci fi film with impressive special effects including powerful imaginings of cosmic scientific concepts through encounters with wormholes and black hole event horizon Affecting score by Hans Zimmer and video message segments provide some, but arguably insufficient emotional heart and drama around themes of love, sacrifice and time slipping by. The film’s four dimensional tesseract segment strongly indebted to Kubrick’s 2001 star child sequence. Intelligent robot TARS’ design appears to  reference alien monolith from 2001: a space odyssey and provides interesting contrast with HAL from Kubrick’s masterpiece."
countachsbunda,★★★★★,Watched,My fave movie ever I cried (what I would do to see it in theaters)
baconpancake6,★★½,Watched,"i have whatched Interstaller 11 times. this te,today, i am CHANGED in my life…you see what makes interstellar is Dad in my bookcase Elf onthe shelf  Fantasy… i so absorbed byu details of the few wonders,the visual,The way hes father i would ideally like  kto have, i wonder if he would push me harder to pursue My Dreams,he is the tough love  i wonder if mylife xwould be diffeent like that with the encouragmnt, Planes train automobiles iPads,  i just…"
maimaaukuso,★★★★★,Watched,"I spent most of the time watching my sister’s reaction as it was her first time experiencing Interstellar, and I was so hyped to see her reaction. But honestly, I'm not sure if she's still my sister after her bland response to the movie 😆and why’d it make me very irritated hahaha anyway I cried again and it just felt like I was watching for the first time too ugh sooooo good"
knightdotcom,★★★★★,Watched,circular baseballi wanted to eat every little star and planet in this movie
k8tie_jb,★★★★★,Watched,literally cannot stop thinking bout it
joshsanjayedoo,★★★★★,Watched,One of the best movies I’ve ever seen. Well-deserved Oscar for Matthew McConaughey. Beautiful score from Hans Zimmer as well. Probably Christopher Nolan’s best movie besidesThe Dark Knight.
terrorking,★★★★★,Watched,Immer noch überaus erhaben. Interessanterweise hatte ich ihn noch überwältigender in Erinnerung. Vielleicht habe ich ihn nur auf einem zu kleinen Monitor angeschaut.
queenayina,½,Watched,Oh my god I have a headacheI hate this film sooooo muchIt was so boring and slow and the plot was complete nonsense. I thought the dystopian setting at the start was slightly interesting but they didn’t elaborate on that at all and proceeded to make one stupid decision after another. The whole reason for their trip felt so unnecessary. Their decisions on that water planet were so stupid like that doctor trying to get that research that…
kkkkyyyy,★★★★★,Watched,"""We're always defined ourselves by the ability to overcome the impossible""Masterpiece nolan cuuyyy🤯🤯🤯Walaupun ga semasterpiece Oppenheimer. Dari story, mantep, tentang mencari planet lain untul dihuni, dari char mantep bgt, apalagi development charnya, bagus, chemistrynya dapet bgt, dan itu semua berkat actingnya yg top markotop. Dari visual, bagus bgt, pas mau ngelewatin black hole sama pas di dimensi ke 5, shot²nya tuh beberapa gw suka loh, kayak pas scene si coopernya udah balik ngeliat kotanya direnovasi, itu kyk catchy²…"
bogdanfetea,★★★★★,Watched,ugh when will anyone travel through space and time to send me signals by gravity out of their love for me….
farhannnnnrsn,★★★★★,Watched,An amazing beautiful movie by Christopher Nolan can't wait to see more projects like this from him
kattelynnxo,★★★★½,Watched,"""It was you. You were my ghost.""HOLY SHIT I am really not okay with being alive right now"
imganeshraj,★★★½,Watched,🛰️🌽
hannah_azizz,★★★★★,Watched,holy shitthat was deep
jujusboi,★★★★★,Watched,masterpiece!!!!
tacoooos,★★★½,Watched,Yo hubiera preferido quedarme y morirme con mi hija a salvar la raza humana la vd
chemicxflm,★★★★★,Watched,"O melhor filme da década. A forma como tudo é trabalhado e a história é desenvolvida, como esse filme é construído conectando as informações que temos sobre espaço e até às que não temos é simplesmente surreal. Assistir esse filme pela primeira vez é uma experiência inigualável"
_franccisca,★★★★★,Watched,man i fucking hate movies about time
solaradrift,★★★★★,Watched,serious contender for best movie ending
cipher32,★★★★,Watched,"Interstellar es una de mis películas favoritas. Puede llegar a ser aburrida en momentos, pero la banda sonora, la fotografía y simplemente su universo se me hacen muy placenteros de observar. En cuanto a la historia, con toda sinceridad, no es la gran cosa y llega a flaquear.Frases q me gustaron xq si:“La humanidad nació en la Tierra. Nunca tuvo la intención de morir aquí”. -Cooper“No entres dócilmente en esa buena noche; La vejez debe quemar y…"
tuckermeeks,★★★★★,Watched,"So this is by far the most emotion invoking Nolan film. Nothing comes close, probably one of the most heart felt films of the decade. Reading other reviews really aggravates me because all the other elements of the film get nitpicked and over criticized. Like where should we start, the storytelling is absolutely perfect. The back and forth scenes where time was tangible were absolutely jaw dropping. I actually sat with my mouth open as I made these connections. The…"
jug0z,★★★★★,Watched,The mf ghost god damn
_jujulia_,★★★★★,Watched,"This review may contain spoilers.I can handle the truth.impecável, impossível e maluco !murph, você é a maior mulher do mundocooper, você é daora tmj demaisbrand, deviam ter te escutado fidr. mann eu te odeio seu lixo se mata explode morre sabe nem ancorakkk muito ruim vose é ruim uuuhhhh ruim"
duvido,★★★★½,Watched,é o amor tlg né pai
madiklaus,★★★★★,Watched,I have no words for how spectacular this movie this. Every single thing about this movie is mind blowing. I wish I could watch it for the first time again and again and again.
bigpatfussy,★★★★★,Watched,I want to go to there
patfahnoe,★★★★★,Watched,we all cried. 10/10.
jonzerb,★★★★★,Watched,"Perfect. Absolutely perfect. Nothing all can be said when described in a single word in the English language. Perfect. A little tip for people. When the goat himself, George, speaks you shall listen. Vinland Saga. Interstellar. He doesn’t miss. So keeps your eyes open and ears wide when in the presence of someone who properly treats cinematic greatness."
dalsweetie,★★★★★,Watched,"The best movie I've ever seen🗣️🗣️Entonces... Han pasado 10 años desde su estreno y solo 1 hora y media en el planeta de Miller, wow"
slack_god,★★★★½,Watched,Why do people always clap at the end of Christopher Nolan films?
indyjscott,★★★★★,Watched,LA VI EN IMAX 😭😭
asiansensation0,★★★★★,Watched,"Damn. This movie INTENSE shitThis is the first Matthew mcconaughey movie I’ve seen and I can tell he’s a dawg. He cool🥶That theme hit different…That plot is nobel piece prize worthy. Genius…😮‍💨Don’t understand the science, I’m no engineer for a reason lol👍"
moonfables,★★★½,Watched,watched this with my parents and the room shook so much i felt like i was in the ship. alsoSPACE!
zeeb_gorman,★★★★★,Watched,It's just so damn good...😭
bsaf,★★★★★,Watched,Monumental.
jotabones,★★★★★,Watched,Nolan  é sinistro!
lucyevermore,★★★★★,Watched,nunca mais quero ver esse filme na minha frente ou do meu lado que seja
marekg,★★★★★,Watched,this movie feels like home :')
oquad,★★★★★,Watched,Christopher Nolan you can have my hand in marriage any day I've seen this thing at LEAST 15 times and it never fails to captivate me and make me cry
joak__1,★★★,Watched,La bande originale c’est un 10/10 mais prendre dans l’équipe de réalisation un scientifique spécialisé dans les trous noirs pour au final faire n’importe quoi avec la physique à la fin du film c’est dommage.Sinon pratiquement tous les acteurs au top.La scène où Cooper regarde tous les messages de ses enfants..🥲
leftydirecty,★★★★★,Watched,"Watching this in the IMAX had confirmed that this is indeed Nolan’s best and it’s kind of not even close. There is nothing more satisfying than sitting in a packed theater, watching a ten-year-old movie, and participating in group gasps at the sheer scope of it all. I cried no less than 5 times, and yeah it might’ve been the estrogen, but it also might have been the pure majesty of cinema.Surprise Bad Damon should play sniveling toad characters more often."
hellenn,★★★★★,Watched,most devastating experience ever.
ricoflo,★★★★★,Watched,“It was you. You were my ghost.” 😭
amainiero,★★★★★,Watched,Simplemente increíble.
gbximenes_,★★★★,Watched,"bem complexo, cenas ótimas mas bastantes pontas soltas"
pdawg_05,★★★,Watched,Movie plot was lowkey hard to follow; however I was very likely fried while watching so that could have something to do with it but overall I just wasn’t super hooked into the film
austininfinity,★★★★,Watched,"This review may contain spoilers.I can handle the truth.this was very cool and beautiful, but also sad and scary as hell. the tesseract scene was amazing. never ask me to go to space."
gabrielatiba,★★★★★,Watched,"que filme incrível, sem palavras"
jamessociety,★★★★★,Watched,and why he ourple💀
